city,state,country,ngo_shelter_name,shelter_type,address,latitude,longitude,phone,email,capacity,services_offered
Bangalore,Karnataka,India,Bangalore Baptist Hospital Shelter,Medical Care,Bellary Road,12.9716,77.5946,+91-80-22271519,info@bbh.org.in,50,"Medical care, food, temporary accommodation"
Bangalore,Karnataka,India,Shelter for Women and Children,Women & Children,Koramangala,12.9279,77.6271,+91-80-25531234,shelter@koramangala.org,75,"Women's shelter, childcare, counseling"
Bangalore,Karnataka,India,Hope Foundation Shelter,General,Whitefield,12.9698,77.7500,+91-80-28453678,hope@foundation.org,100,"Food, shelter, rehabilitation"
Bangalore,Karnataka,India,Christ Church Shelter,Religious,Richmond Town,12.9581,77.6050,+91-80-22212345,christ@shelter.org,40,"Temporary accommodation, meals"
Bangalore,Karnataka,India,Mother Teresa Shelter,Elderly Care,Shivajinagar,12.9820,77.6094,+91-80-25597890,teresa@care.org,60,"Elderly care, medical support"
Jaipur,Rajasthan,India,Pink City Shelter Home,General,Civil Lines,26.9124,75.7873,+91-141-2367890,pink@shelter.org,80,"Food, accommodation, job training"
Jaipur,Rajasthan,India,Rajasthan Women's Shelter,Women,Malviya Nagar,26.8467,75.8148,+91-141-2789012,women@rajasthan.org,90,"Women's safety, legal aid, counseling"
Jaipur,Rajasthan,India,Amber Fort Charitable Shelter,General,Amer,26.9855,75.8513,+91-141-2234567,amber@charity.org,70,"Temporary shelter, meals"
Jaipur,Rajasthan,India,Jaipur Children's Home,Children,Jhotwara,26.9700,75.7300,+91-141-2456789,children@jaipur.org,120,"Child care, education, shelter"
Jaipur,Rajasthan,India,Desert Rose Shelter,General,Sanganer,26.8175,75.7739,+91-141-2678901,desert@rose.org,65,"Food, shelter, medical care"
Delhi,Delhi,India,Delhi Urban Shelter,Homeless,Connaught Place,28.6139,77.2090,+91-11-23456789,urban@delhi.gov.in,200,"Night shelter, meals, medical aid"
Delhi,Delhi,India,Red Cross Shelter Delhi,Emergency,Lajpat Nagar,28.5677,77.2434,+91-11-24567890,redcross@delhi.org,150,"Emergency shelter, disaster relief"
Delhi,Delhi,India,Lotus Temple Community Shelter,Religious,Kalkaji,28.5535,77.2588,+91-11-26834029,lotus@temple.org,100,"Spiritual care, temporary accommodation"
Delhi,Delhi,India,Delhi Women's Crisis Center,Women,Laxmi Nagar,28.6326,77.2773,+91-11-22345678,crisis@women.org,80,"Women's shelter, legal support"
Delhi,Delhi,India,Capital Children's Shelter,Children,Rohini,28.7041,77.1025,+91-11-27890123,capital@children.org,180,"Child protection, education"
Delhi,Delhi,India,Old Delhi Heritage Shelter,Elderly,Chandni Chowk,28.6506,77.2300,+91-11-23567890,heritage@elderly.org,60,"Elderly care, cultural programs"
Hyderabad,Telangana,India,Charminar Community Shelter,General,Old City,17.3616,78.4747,+91-40-24567890,charminar@shelter.org,110,"Food, shelter, community support"
Hyderabad,Telangana,India,Hyderabad IT Shelter,Tech Workers,Gachibowli,17.4399,78.3489,+91-40-23456789,it@shelter.hyd,70,"Tech worker support, networking"
Hyderabad,Telangana,India,Nizami Shelter Foundation,Religious,Secunderabad,17.4399,78.4983,+91-40-27890234,nizami@foundation.org,95,"Religious shelter, community meals"
Hyderabad,Telangana,India,Golconda Women's Shelter,Women,Tolichowki,17.4006,78.3957,+91-40-23678901,golconda@women.org,85,"Women's safety, skill development"
Hyderabad,Telangana,India,HITEC City Shelter,General,Madhapur,17.4484,78.3915,+91-40-23789012,hitec@shelter.org,130,"Modern facilities, job placement"
Mumbai,Maharashtra,India,Gateway Shelter Mumbai,General,Colaba,18.9220,72.8347,+91-22-22567890,gateway@mumbai.org,250,"Large capacity, multiple services"
Mumbai,Maharashtra,India,Bollywood Charitable Shelter,Entertainment,Bandra,19.0596,72.8295,+91-22-26789012,bollywood@charity.org,120,"Entertainment industry support"
Mumbai,Maharashtra,India,Marine Drive Shelter,Coastal,Marine Drive,18.9441,72.8224,+91-22-22234567,marine@shelter.org,80,"Coastal community support"
Mumbai,Maharashtra,India,Dharavi Community Center,Slum Support,Dharavi,19.0430,72.8570,+91-22-24567890,dharavi@community.org,300,"Slum rehabilitation, skills training"
Kolkata,West Bengal,India,Howrah Bridge Shelter,General,Howrah,22.5958,88.2636,+91-33-26567890,howrah@shelter.org,180,"Bridge community, transportation hub"
Kolkata,West Bengal,India,Victoria Memorial Shelter,Heritage,Maidan,22.5448,88.3426,+91-33-22456789,victoria@heritage.org,90,"Heritage area support"
Kolkata,West Bengal,India,Mother Teresa Home,Charity,Park Street,22.5551,88.3525,+91-33-22678901,mother@teresa.org,150,"Following Mother Teresa's mission"
Chennai,Tamil Nadu,India,Marina Beach Shelter,Coastal,Marina Beach,13.0475,80.2824,+91-44-24567890,marina@chennai.org,170,"Coastal community, fishing families"
Chennai,Tamil Nadu,India,T. Nagar Commercial Shelter,Commercial,T. Nagar,13.0418,80.2341,+91-44-28234567,tnagar@commercial.org,95,"Commercial area workers"
Chennai,Tamil Nadu,India,Mylapore Temple Shelter,Religious,Mylapore,13.0339,80.2619,+91-44-24678901,mylapore@temple.org,110,"Religious community support"
Pune,Maharashtra,India,Shivajinagar Shelter Pune,General,Shivajinagar,18.5309,73.8443,+91-20-25567890,shivaji@pune.org,140,"General community support"
Pune,Maharashtra,India,Pune IT Park Shelter,Technology,Hinjewadi,18.5912,73.7387,+91-20-22456789,itpark@pune.org,85,"IT professionals support"
